#{"t_start": 1609439729.0170918, "env_id": "conservation-v5"}
r,l,t
-18.965828,101,0.093154
-19.024655,101,0.176515
-8.180668,101,0.252269
-41.169376,101,0.329698
-159.183194,101,0.400956
-50.05512,101,0.478603
53.439524,101,0.557156
29.484962,101,0.635873
-5.744376,101,0.71353
36.362991,101,0.783906
40.977679,101,0.86127
36.875551,101,0.939763
51.627252,101,1.017624
36.362991,101,1.095209
36.362991,101,1.167225
36.362991,101,1.246002
36.362991,101,1.325128
36.362991,101,1.403044
36.362991,101,1.474462
36.362991,101,1.572888
36.362991,101,1.653051
36.362991,101,1.731896
36.362991,101,1.809686
36.362991,101,1.881495
36.362991,101,2.125575
-100.771329,101,2.204953
-69.91359,101,2.283669
36.362991,101,2.362285
36.362991,101,2.434103
36.362991,101,2.511487
-86.768974,101,2.582945
-90.542733,101,2.65312
36.362991,101,2.724669
36.362991,101,2.789412
36.362991,101,2.860259
36.362991,101,2.930245
36.362991,101,3.010743
36.362991,101,3.080692
36.362991,101,3.15258
36.362991,101,3.224346
36.362991,101,3.295422
36.362991,101,3.365378
36.362991,101,3.445345
36.362991,101,3.51847
36.362991,101,3.591995
36.362991,101,3.665325
36.362991,101,3.737856
36.362991,101,3.803431
36.362991,101,3.876089
36.362991,101,4.10495
36.362991,101,4.179643
36.362991,101,4.254498
36.362991,101,4.32
36.362991,101,4.392088
36.362991,101,4.465258
36.362991,101,4.537966
36.362991,101,4.603493
36.362991,101,4.675756
36.362991,101,4.749088
36.362991,101,4.822341
36.362991,101,4.894971
36.362991,101,4.962327
36.362991,101,5.034537
36.362991,101,5.120831
36.362991,101,5.213649
36.362991,101,5.305706
36.362991,101,5.381714
36.362991,101,5.46318
36.362991,101,5.542456
7.555885,101,5.622242
10.829146,101,5.701354
36.362991,101,5.773814
36.362991,101,5.853215
36.362991,101,5.93002
36.362991,101,6.170245
36.362991,101,6.241685
36.362991,101,6.320436
36.362991,101,6.39987
36.362991,101,6.479161
36.362991,101,6.557653
36.362991,101,6.629702
36.362991,101,6.708645
36.362991,101,6.787662
36.362991,101,6.862997
36.362991,101,6.941977
36.362991,101,7.014424
36.362991,101,7.093332
36.362991,101,7.168845
36.362991,101,7.268255
36.362991,101,7.352473
36.362991,101,7.424582
36.362991,101,7.503429
36.362991,101,7.582816
36.362991,101,7.665365
36.362991,101,7.736742
36.362991,101,7.822078
36.362991,101,7.90909
36.362991,101,7.994623
36.362991,101,8.074352
36.362991,101,8.303031
36.362991,101,8.382763
36.362991,101,8.461474
36.362991,101,8.540536
36.362991,101,8.619623
36.362991,101,8.69179
36.362991,101,8.774468
36.362991,101,8.854355
36.362991,101,8.93353
36.362991,101,9.014047
36.362991,101,9.087218
36.362991,101,9.169755
36.362991,101,9.24981
36.362991,101,9.328708
36.362991,101,9.40069
36.362991,101,9.480037
36.362991,101,9.557398
36.362991,101,9.635176
36.362991,101,9.71422
36.362991,101,9.784441
36.362991,101,9.863189
36.362991,101,9.94221
36.362991,101,10.018701
36.362991,101,10.097121
36.362991,101,10.333831
36.362991,101,10.416027
36.362991,101,10.498655
36.362991,101,10.580992
36.362991,101,10.652642
36.362991,101,10.726825
36.362991,101,10.808288
36.362991,101,10.886403
36.362991,101,10.96831
36.362991,101,11.040841
36.362991,101,11.119143
36.362991,101,11.198928
36.362991,101,11.278216
36.362991,101,11.357735
36.362991,101,11.430155
36.362991,101,11.509652
36.362991,101,11.586205
36.362991,101,11.657243
36.362991,101,11.735598
36.362991,101,11.832032
36.362991,101,11.939618
36.362991,101,12.048065
36.362991,101,12.143888
36.362991,101,12.216954
36.362991,101,12.291763
36.362991,101,12.527939
36.362991,101,12.607422
36.362991,101,12.685233
36.362991,101,12.754138
36.362991,101,12.832821
36.362991,101,12.912268
36.362991,101,12.992154
36.362991,101,13.071846
36.362991,101,13.144649
36.362991,101,13.226962
36.362991,101,13.309094
36.362991,101,13.390977
36.362991,101,13.471906
36.362991,101,13.544136
36.362991,101,13.623309
36.362991,101,13.703124
36.362991,101,13.782892
36.362991,101,13.848103
36.362991,101,13.926234
36.362991,101,14.004722
36.362991,101,14.083586
36.362991,101,14.163563
36.362991,101,14.235363
36.362991,101,14.314278
36.362991,101,14.393326
36.362991,101,14.627217
36.362991,101,14.706711
36.362991,101,14.778851
36.362991,101,14.857653
36.362991,101,14.935751
36.362991,101,15.01355
36.362991,101,15.091387
36.362991,101,15.163385
36.362991,101,15.243197
36.362991,101,15.322086
36.362991,101,15.400502
36.362991,101,15.472176
36.362991,101,15.551671
36.362991,101,15.630621
36.362991,101,15.707866
36.362991,101,15.792072
36.362991,101,15.876475
36.362991,101,15.954362
36.362991,101,16.031069
36.362991,101,16.109325
36.362991,101,16.19164
36.362991,101,16.262474
36.362991,101,16.340066
36.362991,101,16.418869
36.362991,101,16.496955
36.362991,101,16.740654
36.362991,101,16.813026
36.362991,101,16.891545
36.362991,101,16.969548
36.362991,101,17.062159
36.362991,101,17.135674
36.362991,101,17.214272
36.362991,101,17.292271
36.362991,101,17.369969
36.362991,101,17.447756
36.362991,101,17.518589
36.362991,101,17.596678
36.362991,101,17.674423
36.362991,101,17.752599
36.362991,101,17.829476
36.362991,101,17.900442
36.362991,101,17.975953
36.362991,101,18.05262
36.362991,101,18.131664
36.362991,101,18.210119
36.362991,101,18.281178
36.362991,101,18.359177
36.362991,101,18.436916
36.362991,101,18.514662
36.362991,101,18.751413
36.362991,101,18.830486
36.362991,101,18.908349
36.362991,101,18.996198
36.362991,101,19.085509
36.362991,101,19.170475
36.362991,101,19.262065
36.362991,101,19.352561
36.362991,101,19.436754
36.362991,101,19.526022
36.362991,101,19.608777
36.362991,101,19.687402
36.362991,101,19.767958
36.362991,101,19.843339
36.362991,101,19.921863
36.362991,101,19.994221
36.362991,101,20.072811
36.362991,101,20.151161
36.362991,101,20.233112
36.362991,101,20.304932
36.362991,101,20.387822
36.362991,101,20.467157
36.362991,101,20.545926
36.362991,101,20.624935
36.362991,101,20.697259
36.362991,101,20.963922
36.362991,101,21.042215
36.362991,101,21.121106
36.362991,101,21.20044
36.362991,101,21.272295
36.362991,101,21.351804
36.362991,101,21.431188
36.362991,101,21.51026
36.362991,101,21.581821
36.362991,101,21.662267
36.362991,101,21.741135
36.362991,101,21.819834
36.362991,101,21.898091
36.362991,101,21.970416
36.362991,101,22.049875
36.362991,101,22.129658
36.362991,101,22.209223
36.362991,101,22.287527
36.362991,101,22.359941
36.362991,101,22.431476
36.362991,101,22.502053
36.362991,101,22.572437
36.362991,101,22.642711
36.362991,101,22.707126
36.362991,101,22.777884
36.362991,101,23.002224
36.362991,101,23.073073
36.362991,101,23.137375
36.362991,101,23.208439
36.362991,101,23.279601
36.362991,101,23.350568
36.362991,101,23.421914
36.362991,101,23.48703
36.362991,101,23.557758
36.362991,101,23.632667
36.362991,101,23.709875
36.362991,101,23.788213
36.362991,101,23.859361
36.362991,101,23.938734
36.362991,101,24.017521
36.362991,101,24.096255
36.362991,101,24.175696
36.362991,101,24.248211
36.362991,101,24.32833
36.362991,101,24.408328
36.362991,101,24.487922
36.362991,101,24.559821
36.362991,101,24.63889
36.362991,101,24.717776
36.362991,101,24.796454
36.362991,101,25.031335
36.362991,101,25.102219
36.362991,101,25.181597
36.362991,101,25.260397
36.362991,101,25.33936
36.362991,101,25.418944
36.362991,101,25.491062
36.362991,101,25.570077
36.362991,101,25.649029
36.362991,101,25.728606
36.362991,101,25.808643
36.362991,101,25.881116
36.362991,101,25.95995
36.362991,101,26.038912
36.362991,101,26.118271
36.362991,101,26.190908
36.362991,101,26.270795
36.362991,101,26.350607
36.362991,101,26.429736
36.362991,101,26.508712
36.362991,101,26.58055
36.362991,101,26.659734
36.362991,101,26.738916
36.362991,101,26.817167
36.362991,101,27.051702
36.362991,101,27.122654
36.362991,101,27.202632
36.362991,101,27.282146
36.362991,101,27.361144
36.362991,101,27.440774
36.362991,101,27.513278
36.362991,101,27.592466
36.362991,101,27.671638
36.362991,101,27.758535
36.362991,101,27.840213
36.362991,101,27.923471
36.362991,101,28.002791
36.362991,101,28.081331
36.362991,101,28.16009
36.362991,101,28.232336
36.362991,101,28.310947
36.362991,101,28.391858
36.362991,101,28.47002
36.362991,101,28.550269
36.362991,101,28.62791
36.362991,101,28.72239
36.362991,101,28.806764
36.362991,101,28.894776
36.362991,101,28.9913
36.362991,101,29.22653
36.362991,101,29.313597
36.362991,101,29.394278
36.362991,101,29.473364
36.362991,101,29.544218
36.362991,101,29.621653
36.362991,101,29.697664
36.362991,101,29.775449
36.362991,101,29.857084
36.362991,101,29.928887
36.362991,101,30.00688
36.362991,101,30.085075
36.362991,101,30.163305
36.362991,101,30.246531
36.362991,101,30.333833
36.362991,101,30.434613
36.362991,101,30.532217
36.362991,101,30.621364
36.362991,101,30.711634
36.362991,101,30.800668
36.362991,101,30.89654
36.362991,101,30.980542
36.362991,101,31.060516
36.362991,101,31.145463
36.362991,101,31.24119
36.362991,101,31.519829
36.362991,101,31.610422
36.362991,101,31.693134
36.362991,101,31.757902
36.362991,101,31.829161
36.362991,101,31.900129
36.362991,101,31.974705
36.362991,101,32.046197
36.362991,101,32.118544
36.362991,101,32.197422
36.362991,101,32.273523
36.362991,101,32.352984
36.362991,101,32.42554
36.362991,101,32.508566
36.362991,101,32.587421
36.362991,101,32.665773
36.362991,101,32.743963
36.362991,101,32.816474
36.362991,101,32.895861
36.362991,101,32.973841
36.362991,101,33.045549
36.362991,101,33.11612
36.362991,101,33.181182
36.362991,101,33.252762
36.362991,101,33.324188
36.362991,101,33.550392
36.362991,101,33.621181
36.362991,101,33.685919
36.362991,101,33.756784
36.362991,101,33.827293
36.362991,101,33.898284
36.362991,101,33.962454
36.362991,101,34.033617
36.362991,101,34.104845
36.362991,101,34.178935
36.362991,101,34.251994
36.362991,101,34.316801
36.362991,101,34.389798
36.362991,101,34.461954
36.362991,101,34.532834
36.362991,101,34.603251
36.362991,101,34.668152
36.362991,101,34.739241
36.362991,101,34.810342
36.362991,101,34.883275
36.362991,101,34.955312
36.362991,101,35.020332
36.362991,101,35.099453
36.362991,101,35.17873
36.362991,101,35.414119
36.362991,101,35.486629
36.362991,101,35.566417
36.362991,101,35.644949
36.362991,101,35.715842
36.362991,101,35.787693
36.362991,101,35.858681
36.362991,101,35.930822
36.362991,101,36.001493
36.362991,101,36.072011
36.362991,101,36.146324
36.362991,101,36.211723
36.362991,101,36.283968
36.362991,101,36.354657
36.362991,101,36.42552
36.362991,101,36.496729
36.362991,101,36.561508
36.362991,101,36.632355
36.362991,101,36.703312
36.362991,101,36.774672
36.362991,101,36.839603
36.362991,101,36.914543
36.362991,101,36.985794
36.362991,101,37.056906
36.362991,101,37.130675
36.362991,101,37.356549
36.362991,101,37.437106
36.362991,101,37.517014
36.362991,101,37.596649
36.362991,101,37.676242
36.362991,101,37.749951
36.362991,101,37.832728
36.362991,101,37.915472
36.362991,101,37.998596
36.362991,101,38.078087
36.362991,101,38.147128
36.362991,101,38.225239
36.362991,101,38.30822
36.362991,101,38.391723
36.362991,101,38.463905
36.362991,101,38.542802
36.362991,101,38.620993
36.362991,101,38.699247
36.362991,101,38.777668
36.362991,101,38.850629
36.362991,101,38.929556
36.362991,101,39.00984
36.362991,101,39.086423
36.362991,101,39.158972
36.362991,101,39.230541
36.362991,101,39.466332
36.362991,101,39.542591
36.362991,101,39.620886
36.362991,101,39.701113
36.362991,101,39.774063
36.362991,101,39.852161
36.362991,101,39.928591
36.362991,101,40.006254
36.362991,101,40.079082
36.362991,101,40.159153
36.362991,101,40.239101
36.362991,101,40.32124
36.362991,101,40.396917
36.362991,101,40.469914
36.362991,101,40.558127
36.362991,101,40.646237
36.362991,101,40.736618
36.362991,101,40.825196
36.362991,101,40.898081
36.362991,101,40.992073
36.362991,101,41.074843
36.362991,101,41.153004
36.362991,101,41.231352
36.362991,101,41.303055
36.362991,101,41.381158
36.362991,101,41.625274
36.362991,101,41.703514
36.362991,101,41.77493
36.362991,101,41.853009
36.362991,101,41.930732
36.362991,101,42.010066
36.362991,101,42.091984
36.362991,101,42.159003
36.362991,101,42.2376
36.362991,101,42.315766
36.362991,101,42.39433
36.362991,101,42.473206
36.362991,101,42.544599
36.362991,101,42.622529
36.362991,101,42.700593
36.362991,101,42.781045
36.362991,101,42.847958
36.362991,101,42.925971
36.362991,101,43.006658
36.362991,101,43.085424
36.362991,101,43.163554
36.362991,101,43.235172
36.362991,101,43.318004
36.362991,101,43.397227
36.362991,101,43.63613
36.362991,101,43.711566
36.362991,101,43.776679
36.362991,101,43.852622
36.362991,101,43.931975
36.362991,101,44.01218
36.362991,101,44.09262
36.362991,101,44.170078
36.362991,101,44.250544
36.362991,101,44.347764
36.362991,101,44.454467
36.362991,101,44.554291
36.362991,101,44.659823
36.362991,101,44.764985
36.362991,101,44.865141
36.362991,101,44.945818
36.362991,101,45.018415
36.362991,101,45.098071
36.362991,101,45.178261
36.362991,101,45.257984
36.362991,101,45.336832
36.362991,101,45.409669
36.362991,101,45.493328
36.362991,101,45.591746
36.362991,101,45.68387
36.362991,101,45.943528
36.362991,101,46.024432
36.362991,101,46.12283
36.362991,101,46.212342
36.362991,101,46.290417
36.362991,101,46.371575
36.362991,101,46.466054
36.362991,101,46.557942
36.362991,101,46.65194
36.362991,101,46.743861
36.362991,101,46.832683
36.362991,101,46.91497
36.362991,101,46.992767
36.362991,101,47.067245
36.362991,101,47.149383
36.362991,101,47.218094
36.362991,101,47.295632
36.362991,101,47.373768
36.362991,101,47.452149
36.362991,101,47.531939
36.362991,101,47.605042
36.362991,101,47.688778
36.362991,101,47.784477
36.362991,101,47.874217
36.362991,101,47.947177
36.362991,101,48.208456
36.362991,101,48.292023
36.362991,101,48.370611
36.362991,101,48.446432
36.362991,101,48.518739
36.362991,101,48.596794
36.362991,101,48.675035
36.362991,101,48.75266
36.362991,101,48.834563
36.362991,101,48.907135
36.362991,101,48.986403
36.362991,101,49.065512
36.362991,101,49.144836
36.362991,101,49.222951
36.362991,101,49.294222
36.362991,101,49.37373
36.362991,101,49.452229
36.362991,101,49.53779
36.362991,101,49.621033
36.362991,101,49.702896
36.362991,101,49.782292
36.362991,101,49.86229
36.362991,101,49.941143
36.362991,101,50.013674
36.362991,101,50.093187
36.362991,101,50.327907
36.362991,101,50.406557
36.362991,101,50.485048
36.362991,101,50.557647
36.362991,101,50.636703
36.362991,101,50.719546
36.362991,101,50.809757
36.362991,101,50.903501
36.362991,101,50.982647
36.362991,101,51.077106
36.362991,101,51.174186
36.362991,101,51.264907
36.362991,101,51.348636
36.362991,101,51.438453
36.362991,101,51.522572
36.362991,101,51.61502
36.362991,101,51.708782
36.362991,101,51.798141
36.362991,101,51.884278
36.362991,101,51.980653
36.362991,101,52.074167
36.362991,101,52.168414
36.362991,101,52.246716
36.362991,101,52.32927
36.362991,101,52.571375
36.362991,101,52.650495
36.362991,101,52.730676
36.362991,101,52.802235
36.362991,101,52.878698
36.362991,101,52.957141
36.362991,101,53.036152
36.362991,101,53.107148
36.362991,101,53.188716
36.362991,101,53.264126
36.362991,101,53.340047
36.362991,101,53.417338
36.362991,101,53.488467
36.362991,101,53.566488
36.362991,101,53.644581
36.362991,101,53.722906
36.362991,101,53.802733
36.362991,101,53.876522
36.362991,101,53.95548
36.362991,101,54.03739
36.362991,101,54.115824
36.362991,101,54.18861
36.362991,101,54.26876
36.362991,101,54.348238
36.362991,101,54.423069
36.362991,101,54.656456
36.362991,101,54.728668
36.362991,101,54.810541
36.362991,101,54.892452
36.362991,101,54.972596
36.362991,101,55.052096
36.362991,101,55.123056
36.362991,101,55.201774
36.362991,101,55.281366
36.362991,101,55.363543
36.362991,101,55.447219
36.362991,101,55.526795
36.362991,101,55.608951
36.362991,101,55.698853
36.362991,101,55.795811
36.362991,101,55.877797
36.362991,101,55.958456
36.362991,101,56.03873
36.362991,101,56.118564
36.362991,101,56.202335
36.362991,101,56.286692
36.362991,101,56.378406
36.362991,101,56.472128
36.362991,101,56.563848
36.362991,101,56.654054
36.362991,101,56.908363
36.362991,101,56.988003
36.362991,101,57.062311
36.362991,101,57.14242
36.362991,101,57.216511
36.362991,101,57.28901
36.362991,101,57.364452
36.362991,101,57.441958
36.362991,101,57.521732
36.362991,101,57.593857
36.362991,101,57.675523
36.362991,101,57.750116
36.362991,101,57.832404
36.362991,101,57.906433
36.362991,101,57.97893
36.362991,101,58.05451
36.362991,101,58.143945
36.362991,101,58.252555
36.362991,101,58.36428
36.362991,101,58.461732
36.362991,101,58.573504
36.362991,101,58.68391
36.362991,101,58.791559
36.362991,101,58.904028
36.362991,101,59.001662
36.362991,101,59.245487
36.362991,101,59.317075
36.362991,101,59.388384
36.362991,101,59.453349
36.362991,101,59.525225
36.362991,101,59.60339
36.362991,101,59.679082
36.362991,101,59.75937
36.362991,101,59.830169
36.362991,101,59.912477
36.362991,101,59.99089
36.362991,101,60.070225
36.362991,101,60.14777
36.362991,101,60.215657
36.362991,101,60.287983
36.362991,101,60.359786
36.362991,101,60.431034
36.362991,101,60.502728
36.362991,101,60.567809
36.362991,101,60.63986
36.362991,101,60.711593
36.362991,101,60.786793
36.362991,101,60.860069
36.362991,101,60.938679
36.362991,101,61.180007
36.362991,101,61.260008
36.362991,101,61.339681
36.362991,101,61.412366
36.362991,101,61.491533
36.362991,101,61.571548
36.362991,101,61.651461
36.362991,101,61.730411
36.362991,101,61.797679
36.362991,101,61.876139
36.362991,101,61.955743
36.362991,101,62.03545
36.362991,101,62.115513
36.362991,101,62.188618
36.362991,101,62.268509
36.362991,101,62.348418
36.362991,101,62.428416
36.362991,101,62.503823
36.362991,101,62.582947
36.362991,101,62.664073
36.362991,101,62.744223
36.362991,101,62.826765
36.362991,101,62.899749
36.362991,101,62.980019
36.362991,101,63.060215
