,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,0.75,2021-06-01 22:36:54.706327,2021-06-02 00:37:48.617567,0 days 02:00:53.911240,16,10000,False,0.99,0.000712839154014647,medium,0.04436071529881502,ornstein-uhlenbeck,0.02,16.0,COMPLETE
1,1,0.0,2021-06-01 22:36:54.716450,2021-06-02 00:36:39.613616,0 days 01:59:44.897166,100,1000000,False,0.9999,0.010424089334623647,big,0.16257582064902687,normal,0.02,16.0,COMPLETE
2,2,0.75,2021-06-01 22:36:54.730500,2021-06-02 00:28:45.321903,0 days 01:51:50.591403,64,100000,True,0.95,0.025415125089401625,medium,0.45876595667628084,ornstein-uhlenbeck,0.01,,COMPLETE
3,3,0.75,2021-06-01 22:36:54.740424,2021-06-02 00:31:28.632341,0 days 01:54:33.891917,1024,1000000,True,0.995,0.0001517374499512203,big,0.7645988601165871,,0.02,,COMPLETE
4,4,6.651596,2021-06-02 00:28:45.349470,2021-06-02 02:22:18.193545,0 days 01:53:32.844075,512,1000000,True,0.9,1.533747235204942e-05,small,0.1310602266826617,,0.02,,COMPLETE
5,5,0.75,2021-06-02 00:31:28.663832,2021-06-02 02:26:11.564380,0 days 01:54:42.900548,100,10000,True,0.95,0.007967739947281933,medium,0.34047703799664364,ornstein-uhlenbeck,0.005,,COMPLETE
6,6,7.026999000000001,2021-06-02 00:36:39.648929,2021-06-02 02:34:04.504830,0 days 01:57:24.855901,16,100000,True,0.95,0.00013214089277548656,medium,0.5636672170657295,,0.005,,COMPLETE
7,7,0.0,2021-06-02 00:37:48.665831,2021-06-02 02:41:04.393187,0 days 02:03:15.727356,64,10000,True,0.995,0.00804206287795913,big,0.94451788969843,normal,0.005,,COMPLETE
8,8,0.0,2021-06-02 02:22:18.216536,2021-06-02 04:20:11.238463,0 days 01:57:53.021927,2048,1000000,True,0.99,0.014421161377778977,big,0.7895665294561384,normal,0.02,,COMPLETE
9,9,0.75,2021-06-02 02:26:11.596221,2021-06-02 04:22:32.505256,0 days 01:56:20.909035,256,100000,True,0.9999,0.00019095057732161898,big,0.9725447903480579,ornstein-uhlenbeck,0.02,,COMPLETE
10,10,0.75,2021-06-02 02:34:04.533229,2021-06-02 04:34:50.993248,0 days 02:00:46.460019,2048,100000,True,0.9,0.022752892758112077,medium,0.9291627349591046,,0.01,,COMPLETE
11,11,0.75,2021-06-02 02:41:04.423690,2021-06-02 04:44:13.924687,0 days 02:03:09.500997,512,1000000,False,0.995,0.7705179339318137,small,0.46659337015610425,ornstein-uhlenbeck,0.02,128.0,COMPLETE
12,12,0.75,2021-06-02 04:20:11.267302,2021-06-02 06:12:37.418406,0 days 01:52:26.151104,1024,100000,False,0.95,2.9463073484242846e-05,big,0.26910150272801037,,0.005,128.0,COMPLETE
13,13,0.75,2021-06-02 04:22:32.532037,2021-06-02 06:15:43.554983,0 days 01:53:11.022946,32,100000,False,0.98,0.7422957172858476,medium,0.6538346361810486,,0.001,1000.0,COMPLETE
14,14,0.75,2021-06-02 04:34:51.024264,2021-06-02 06:30:56.790774,0 days 01:56:05.766510,512,100000,True,0.9,1.0007153051264914e-05,small,0.634527936138826,,0.001,,COMPLETE
15,15,0.75,2021-06-02 04:44:13.956560,2021-06-02 06:43:51.667018,0 days 01:59:37.710458,512,100000,True,0.9,1.040384769525015e-05,small,0.6718904138148302,,0.001,,COMPLETE
16,16,0.75,2021-06-02 06:12:37.463421,2021-06-02 08:03:42.840284,0 days 01:51:05.376863,16,100000,True,0.9,1.0294397516808572e-05,small,0.6440746028942071,,0.001,,COMPLETE
17,17,7.658931,2021-06-02 06:15:43.591900,2021-06-02 08:12:04.009941,0 days 01:56:20.418041,512,1000000,True,0.999,1.3232088518556608e-05,small,0.5939495651707194,,0.005,,COMPLETE
18,18,0.75,2021-06-02 06:30:56.811854,2021-06-02 08:24:54.983823,0 days 01:53:58.171969,16,1000000,True,0.999,1.228783844284159e-05,small,0.06684960641803023,,0.005,,COMPLETE
19,19,0.75,2021-06-02 06:43:51.700919,2021-06-02 08:40:29.850350,0 days 01:56:38.149431,16,1000000,True,0.999,6.089288245394907e-05,small,0.03000390801704006,,0.005,,COMPLETE
20,20,0.75,2021-06-02 08:03:42.862828,2021-06-02 09:55:42.001456,0 days 01:51:59.138628,16,1000000,True,0.999,7.047663651817627e-05,small,0.03521094194777463,,0.005,,COMPLETE
21,21,7.215704,2021-06-02 08:12:04.048328,2021-06-02 10:07:07.643048,0 days 01:55:03.594720,128,1000000,True,0.999,7.786274861196099e-05,small,0.5305032136693706,,0.005,,COMPLETE
22,22,0.75,2021-06-02 08:24:55.019228,2021-06-02 10:22:55.505069,0 days 01:58:00.485841,128,1000000,True,0.999,6.823309985986392e-05,medium,0.5512321280293642,,0.005,,COMPLETE
23,23,0.75,2021-06-02 08:40:29.870993,2021-06-02 10:42:02.200260,0 days 02:01:32.329267,128,1000000,True,0.999,0.0010358044921289066,medium,0.3233438427706913,,0.005,,COMPLETE
24,24,7.339112,2021-06-02 09:55:42.037774,2021-06-02 11:47:59.777514,0 days 01:52:17.739740,128,1000000,True,0.95,0.0008051341568198053,small,0.543172898927471,,0.005,,COMPLETE
25,25,3.78977,2021-06-02 10:07:07.684681,2021-06-02 12:01:42.182639,0 days 01:54:34.497958,128,1000000,True,0.999,0.0005537994788577509,small,0.5363802321817986,,0.005,,COMPLETE
26,26,0.75,2021-06-02 10:22:55.533339,2021-06-02 12:18:47.286701,0 days 01:55:51.753362,128,1000000,True,0.999,0.0008676632373214201,small,0.5414005733886386,,0.005,,COMPLETE
27,27,0.75,2021-06-02 10:42:02.237089,2021-06-02 12:41:03.778971,0 days 01:59:01.541882,128,1000000,True,0.98,0.00045609107038048214,small,0.5725303464737217,,0.005,,COMPLETE
28,28,0.75,2021-06-02 11:47:59.814058,2021-06-02 13:42:30.839525,0 days 01:54:31.025467,128,1000000,True,0.98,0.0006268027971125564,small,0.4242837507399489,,0.005,,COMPLETE
29,29,7.408089000000001,2021-06-02 12:01:42.219362,2021-06-02 13:58:29.792643,0 days 01:56:47.573281,128,1000000,True,0.98,0.002647399427238619,small,0.3986931741724984,normal,0.005,,COMPLETE
30,30,4.634761,2021-06-02 12:18:47.309700,2021-06-02 14:16:17.259593,0 days 01:57:29.949893,128,1000000,True,0.98,0.002096250020376041,small,0.4119976975725498,normal,0.005,,COMPLETE
31,31,0.75,2021-06-02 12:41:03.805886,2021-06-02 14:41:52.421052,0 days 02:00:48.615166,256,1000000,True,0.95,0.0015997691914068457,small,0.3902534274703676,normal,0.01,,COMPLETE
32,32,7.57029,2021-06-02 13:42:30.869184,2021-06-02 15:36:12.223909,0 days 01:53:41.354725,32,10000,False,0.99,0.0021380506585136926,small,0.759624849289351,normal,0.01,1.0,COMPLETE
33,33,0.0,2021-06-02 13:58:29.829009,2021-06-02 14:32:31.234049,0 days 00:34:01.405040,32,10000,False,0.98,0.09204158295876504,small,0.39401729926817514,normal,0.01,1.0,PRUNED
34,34,0.75,2021-06-02 14:16:17.300913,2021-06-02 16:12:42.545405,0 days 01:56:25.244492,128,10000,True,0.95,0.0028182055430035135,small,0.7398313908622344,normal,0.01,,COMPLETE
35,35,0.75,2021-06-02 14:32:31.247133,2021-06-02 16:24:52.684576,0 days 01:52:21.437443,128,1000000,True,0.99,0.0026546818865931404,small,0.758637960259666,normal,0.005,,COMPLETE
36,36,0.75,2021-06-02 14:41:52.441613,2021-06-02 16:36:54.859014,0 days 01:55:02.417401,128,1000000,True,0.99,0.00028525456106345354,small,0.754862656263749,normal,0.005,,COMPLETE
37,37,7.062348,2021-06-02 15:36:12.247665,2021-06-02 17:21:07.225962,0 days 01:44:54.978297,32,10000,False,0.99,0.004195244291415905,small,0.7487916426398958,normal,0.01,1.0,COMPLETE
38,38,0.0,2021-06-02 16:12:42.580081,2021-06-02 16:43:23.673684,0 days 00:30:41.093603,32,10000,False,0.99,0.13113111898944643,small,0.8758608159359953,normal,0.01,1.0,PRUNED
39,39,0.0,2021-06-02 16:24:52.721604,2021-06-02 16:56:47.808925,0 days 00:31:55.087321,32,10000,False,0.99,0.0976149062048246,small,0.8375800366909907,normal,0.01,1.0,PRUNED
40,40,0.75,2021-06-02 16:36:54.883415,2021-06-02 18:23:47.618239,0 days 01:46:52.734824,32,10000,False,0.99,0.04568208047907821,small,0.8312184425556056,normal,0.01,1.0,COMPLETE
41,41,0.75,2021-06-02 16:43:23.686641,2021-06-02 18:27:17.037463,0 days 01:43:53.350822,100,10000,False,0.9999,0.005058867580768956,small,0.24112805804903528,normal,0.01,256.0,COMPLETE
42,42,0.75,2021-06-02 16:56:47.820254,2021-06-02 18:38:00.823625,0 days 01:41:13.003371,100,10000,False,0.95,0.00406170936789726,small,0.23127876194609973,normal,0.01,2000.0,COMPLETE
43,43,7.707728999999999,2021-06-02 17:21:07.256551,2021-06-02 19:00:23.352982,0 days 01:39:16.096431,100,10000,False,0.9999,0.004897716144310136,small,0.22785844264687588,ornstein-uhlenbeck,0.01,2000.0,COMPLETE
44,44,0.75,2021-06-02 18:23:47.654012,2021-06-02 20:08:10.144745,0 days 01:44:22.490733,64,1000000,False,0.999,2.5262518427809914e-05,small,0.4864046941313517,ornstein-uhlenbeck,0.005,256.0,COMPLETE
45,45,6.851381999999999,2021-06-02 18:27:17.075468,2021-06-02 20:09:50.314931,0 days 01:42:33.239463,64,1000000,True,0.95,2.4725823717083947e-05,small,0.5039128006644696,ornstein-uhlenbeck,0.005,,COMPLETE
46,46,7.526887,2021-06-02 18:38:00.860880,2021-06-02 20:19:00.303806,0 days 01:40:59.442926,64,1000000,True,0.999,2.703385914344969e-05,small,0.4754573256702145,ornstein-uhlenbeck,0.005,,COMPLETE
47,47,0.0,2021-06-02 19:00:23.390015,2021-06-02 19:29:42.827514,0 days 00:29:19.437499,64,10000,False,0.9999,0.016913507315358175,big,0.15744585386039933,ornstein-uhlenbeck,0.01,2000.0,PRUNED
48,48,0.75,2021-06-02 19:29:42.837468,2021-06-02 21:10:07.171725,0 days 01:40:24.334257,100,10000,False,0.9999,0.007161452527368333,small,0.47574319316371444,ornstein-uhlenbeck,0.02,2000.0,COMPLETE
49,49,0.75,2021-06-02 20:08:10.174620,2021-06-02 21:54:37.596895,0 days 01:46:27.422275,100,10000,False,0.9999,0.008430004320494186,small,0.5965642248057453,ornstein-uhlenbeck,0.02,2000.0,COMPLETE
50,50,0.75,2021-06-02 20:09:50.352674,2021-06-02 21:54:17.606033,0 days 01:44:27.253359,100,10000,False,0.9999,0.008054056872240515,small,0.6018740331304093,ornstein-uhlenbeck,0.02,2000.0,COMPLETE
51,51,0.0,2021-06-02 20:19:00.341831,2021-06-02 20:49:14.130953,0 days 00:30:13.789122,100,10000,False,0.9999,0.0094861905801811,big,0.33135272740918487,ornstein-uhlenbeck,0.02,2000.0,PRUNED
52,52,0.75,2021-06-02 20:49:14.144954,2021-06-02 22:36:28.306438,0 days 01:47:14.161484,512,10000,False,0.995,0.0065200854555708485,small,0.591446262919385,ornstein-uhlenbeck,0.01,1000.0,COMPLETE
53,53,0.0,2021-06-02 21:10:07.204445,2021-06-02 21:40:40.570124,0 days 00:30:33.365679,512,10000,False,0.995,0.04303282436731576,small,0.6871271991046312,ornstein-uhlenbeck,0.01,1000.0,PRUNED
54,54,0.75,2021-06-02 21:40:40.578224,2021-06-02 23:28:17.265264,0 days 01:47:36.687040,512,1000000,True,0.9999,0.0012678216241738573,small,0.2885948787095703,ornstein-uhlenbeck,0.005,,COMPLETE
55,55,7.527824,2021-06-02 21:54:17.635393,2021-06-02 23:47:47.167914,0 days 01:53:29.532521,1024,1000000,True,0.98,0.0010675834674672112,small,0.5904484002749971,ornstein-uhlenbeck,0.005,,COMPLETE
56,56,0.75,2021-06-02 21:54:37.633906,2021-06-02 23:50:36.566640,0 days 01:55:58.932734,1024,1000000,True,0.98,0.0010493799791676617,small,0.2843921279955826,ornstein-uhlenbeck,0.005,,COMPLETE
57,57,7.751101,2021-06-02 22:36:28.331531,2021-06-03 00:26:18.354326,0 days 01:49:50.022795,1024,1000000,True,0.98,0.0014376670201224477,small,0.7029623296537103,ornstein-uhlenbeck,0.005,,COMPLETE
58,58,7.751892,2021-06-02 23:28:17.301782,2021-06-03 01:15:04.982020,0 days 01:46:47.680238,1024,1000000,True,0.98,0.00026109592900109077,small,0.08910316824493772,ornstein-uhlenbeck,0.005,,COMPLETE
59,59,0.75,2021-06-02 23:47:47.215956,2021-06-03 01:40:53.075036,0 days 01:53:05.859080,1024,1000000,True,0.98,0.002018653919509922,medium,0.4465222167707602,ornstein-uhlenbeck,0.001,,COMPLETE
60,60,7.627447999999999,2021-06-02 23:50:36.601617,2021-06-03 01:48:33.582881,0 days 01:57:56.981264,1024,1000000,True,0.98,0.0002921381815354652,medium,0.09456059234946712,ornstein-uhlenbeck,0.001,,COMPLETE
61,61,0.75,2021-06-03 00:26:18.391978,2021-06-03 02:18:09.458520,0 days 01:51:51.066542,1024,1000000,True,0.98,0.0003042631579270576,big,0.7170164651733113,ornstein-uhlenbeck,0.001,,COMPLETE
62,62,7.31538,2021-06-03 01:15:05.019924,2021-06-03 03:04:36.595925,0 days 01:49:31.576001,1024,1000000,True,0.98,0.0003656230814102972,medium,0.07854497793736212,ornstein-uhlenbeck,0.001,,COMPLETE
63,63,0.75,2021-06-03 01:40:53.096180,2021-06-03 03:32:57.719634,0 days 01:52:04.623454,1024,1000000,True,0.98,0.0003888487873228763,big,0.6976263157971794,ornstein-uhlenbeck,0.005,,COMPLETE
64,64,,2021-06-03 01:48:33.616212,,,1024,1000000,True,0.98,0.00036931409587749695,medium,0.6958954437799226,ornstein-uhlenbeck,0.001,,RUNNING
65,65,,2021-06-03 02:18:09.482899,,,1024,1000000,True,0.98,0.0001200062525027079,medium,0.12434831231369056,ornstein-uhlenbeck,0.005,,RUNNING
66,66,,2021-06-03 03:04:36.621384,,,1024,1000000,True,0.98,0.00018552937932414927,medium,0.12646850175390584,ornstein-uhlenbeck,0.001,,RUNNING
67,67,,2021-06-03 03:32:57.742525,,,1024,1000000,True,0.98,0.0001532244473252778,medium,0.19581198369920033,ornstein-uhlenbeck,0.001,,RUNNING
68,68,,2021-06-03 17:59:01.580364,,,1024,1000000,True,0.98,0.0001074557516066211,medium,0.11313400678603236,ornstein-uhlenbeck,0.001,,RUNNING
69,69,,2021-06-03 17:59:01.595192,,,1024,1000000,True,0.98,0.0001951070467962713,medium,0.003142811798581807,ornstein-uhlenbeck,0.001,,RUNNING
70,70,,2021-06-03 17:59:01.606190,,,1024,1000000,True,0.98,0.00016266909692758604,medium,0.1145878536250119,ornstein-uhlenbeck,0.001,,RUNNING
71,71,,2021-06-03 17:59:01.619458,,,1024,1000000,True,0.98,0.00012201116272920692,medium,0.09659107304505987,ornstein-uhlenbeck,0.001,,RUNNING
72,72,7.32381,2021-06-03 19:17:05.841704,2021-06-03 19:42:12.483667,0 days 00:25:06.641963,1024,1000000,True,0.98,0.00013569720742029041,medium,0.10429403250573943,ornstein-uhlenbeck,0.001,,COMPLETE
